Phase,t,q_delta_x,q_delta_y,q_delta_z,actual_q_x,actual_q_y,actual_q_z,actual_pos_x,actual_pos_y,actual_pos_z
# delta_time: 0.0200, move_time: 1.0000, period: 2.0000
# start_angles_rad: 0.2311, 0.8011, -2.0065
# start_pos: 245.0000, 40.0000, -50.0000
# d_p: 0.0000, -80.0000, 0.0000
RETRAKCJA,0.0000,-0.5110,0.0979,-0.2339,12.7296,45.9958,-115.1996,244.9923,38.4016,space
RETRAKCJA,0.0200,-0.5131,0.0938,-0.2247,12.2165,46.0896,-115.4243,244.9846,36.8031,space
RETRAKCJA,0.0400,-0.5152,0.0897,-0.2154,11.7013,46.1793,-115.6397,244.9769,35.2046,space
RETRAKCJA,0.0600,-0.5171,0.0856,-0.2061,11.1842,46.2649,-115.8459,244.9693,33.6060,space
RETRAKCJA,0.0800,-0.5191,0.0816,-0.1968,10.6651,46.3465,-116.0427,244.9616,32.0074,space
RETRAKCJA,0.1000,-0.5209,0.0775,-0.1875,10.1442,46.4240,-116.2302,244.9540,30.4087,space
RETRAKCJA,0.1200,-0.5227,0.0735,-0.1782,9.6215,46.4976,-116.4085,244.9464,28.8100,space
RETRAKCJA,0.1400,-0.5244,0.0695,-0.1689,9.0972,46.5671,-116.5774,244.9387,27.2112,space
RETRAKCJA,0.1600,-0.5260,0.0656,-0.1596,8.5712,46.6327,-116.7370,244.9311,25.6123,space
RETRAKCJA,0.1800,-0.5275,0.0616,-0.1503,8.0437,46.6943,-116.8873,244.9235,24.0134,space
RETRAKCJA,0.2000,-0.5289,0.0577,-0.1409,7.5148,46.7520,-117.0282,244.9159,22.4145,space
RETRAKCJA,0.2200,-0.5303,0.0538,-0.1316,6.9845,46.8057,-117.1598,244.9083,20.8154,space
RETRAKCJA,0.2400,-0.5316,0.0499,-0.1222,6.4529,46.8556,-117.2820,244.9008,19.2164,space
RETRAKCJA,0.2600,-0.5328,0.0460,-0.1129,5.9202,46.9015,-117.3948,244.8932,17.6172,space
RETRAKCJA,0.2800,-0.5339,0.0421,-0.1035,5.3863,46.9436,-117.4983,244.8856,16.0180,space
RETRAKCJA,0.3000,-0.5349,0.0382,-0.0941,4.8515,46.9818,-117.5924,244.8781,14.4187,space
RETRAKCJA,0.3200,-0.5358,0.0344,-0.0847,4.3157,47.0162,-117.6772,244.8705,12.8194,space
RETRAKCJA,0.3400,-0.5366,0.0305,-0.0753,3.7791,47.0467,-117.7525,244.8629,11.2199,space
RETRAKCJA,0.3600,-0.5373,0.0267,-0.0660,3.2417,47.0734,-117.8185,244.8554,9.6205,space
RETRAKCJA,0.3800,-0.5380,0.0229,-0.0566,2.7037,47.0963,-117.8750,244.8479,8.0209,space
RETRAKCJA,0.4000,-0.5385,0.0191,-0.0472,2.1652,47.1154,-117.9222,244.8403,6.4213,space
RETRAKCJA,0.4200,-0.5390,0.0153,-0.0378,1.6262,47.1306,-117.9600,244.8328,4.8216,space
RETRAKCJA,0.4400,-0.5394,0.0114,-0.0284,1.0869,47.1421,-117.9883,244.8252,3.2218,space
RETRAKCJA,0.4600,-0.5396,0.0076,-0.0189,0.5472,47.1497,-118.0073,244.8177,1.6220,space
RETRAKCJA,0.4800,-0.5398,0.0038,-0.0095,0.0075,47.1536,-118.0168,244.8102,0.0221,space
RETRAKCJA,0.5000,-0.5399,0.0001,-0.0001,-0.5324,47.1536,-118.0169,244.8026,-1.5779,space
RETRAKCJA,0.5200,-0.5398,-0.0037,0.0093,-1.0722,47.1499,-118.0077,244.7951,-3.1779,space
RETRAKCJA,0.5400,-0.5397,-0.0075,0.0187,-1.6120,47.1423,-117.9890,244.7875,-4.7780,space
RETRAKCJA,0.5600,-0.5395,-0.0113,0.0281,-2.1515,47.1310,-117.9609,244.7800,-6.3782,space
RETRAKCJA,0.5800,-0.5392,-0.0151,0.0375,-2.6906,47.1158,-117.9234,244.7725,-7.9785,space
RETRAKCJA,0.6000,-0.5388,-0.0189,0.0469,-3.2294,47.0969,-117.8764,244.7649,-9.5788,space
RETRAKCJA,0.6200,-0.5383,-0.0228,0.0563,-3.7677,47.0741,-117.8201,244.7574,-11.1792,space
RETRAKCJA,0.6400,-0.5377,-0.0266,0.0657,-4.3054,47.0476,-117.7544,244.7498,-12.7797,space
RETRAKCJA,0.6600,-0.5370,-0.0304,0.0751,-4.8424,47.0171,-117.6793,244.7422,-14.3802,space
RETRAKCJA,0.6800,-0.5362,-0.0342,0.0845,-5.3786,46.9829,-117.5947,244.7347,-15.9808,space
RETRAKCJA,0.7000,-0.5354,-0.0381,0.0939,-5.9140,46.9448,-117.5008,244.7271,-17.5815,space
RETRAKCJA,0.7200,-0.5344,-0.0420,0.1033,-6.4484,46.9029,-117.3975,244.7195,-19.1822,space
RETRAKCJA,0.7400,-0.5333,-0.0458,0.1127,-6.9817,46.8570,-117.2848,244.7119,-20.7830,space
RETRAKCJA,0.7600,-0.5322,-0.0497,0.1221,-7.5139,46.8073,-117.1628,244.7043,-22.3839,space
RETRAKCJA,0.7800,-0.5310,-0.0536,0.1314,-8.0449,46.7537,-117.0313,244.6967,-23.9848,space
RETRAKCJA,0.8000,-0.5296,-0.0575,0.1408,-8.5745,46.6962,-116.8906,244.6891,-25.5858,space
RETRAKCJA,0.8200,-0.5282,-0.0615,0.1502,-9.1027,46.6348,-116.7404,244.6815,-27.1869,space
RETRAKCJA,0.8400,-0.5267,-0.0654,0.1595,-9.6295,46.5694,-116.5809,244.6738,-28.7880,space
RETRAKCJA,0.8600,-0.5252,-0.0694,0.1688,-10.1547,46.5000,-116.4121,244.6662,-30.3891,space
RETRAKCJA,0.8800,-0.5235,-0.0734,0.1782,-10.6782,46.4266,-116.2339,244.6585,-31.9904,space
RETRAKCJA,0.9000,-0.5218,-0.0774,0.1875,-11.2000,46.3493,-116.0464,244.6508,-33.5916,space
RETRAKCJA,0.9200,-0.5200,-0.0814,0.1968,-11.7199,46.2679,-115.8495,244.6432,-35.1930,space
RETRAKCJA,0.9400,-0.5181,-0.0854,0.2061,-12.2380,46.1825,-115.6434,244.6355,-36.7944,space
RETRAKCJA,0.9600,-0.5161,-0.0895,0.2154,-12.7542,46.0930,-115.4280,244.6278,-38.3958,space
RETRAKCJA,0.9800,-0.5141,-0.0936,0.2247,-13.2683,45.9994,-115.2032,244.6200,-39.9973,space
PROTRAKCJA,1.0000,0.5120,1.6373,-0.9289,-12.7563,47.6367,-116.1321,244.5862,-38.3929,space
PROTRAKCJA,1.0200,0.5142,1.6360,-0.8931,-12.2420,49.2727,-117.0252,244.5526,-36.7888,space
PROTRAKCJA,1.0400,0.5164,1.6277,-0.8546,-11.7257,50.9004,-117.8798,244.5195,-35.1851,space
PROTRAKCJA,1.0600,0.5184,1.6125,-0.8138,-11.2072,52.5129,-118.6936,244.4871,-33.5816,space
PROTRAKCJA,1.0800,0.5205,1.5902,-0.7710,-10.6868,54.1031,-119.4646,244.4555,-31.9784,space
PROTRAKCJA,1.1000,0.5224,1.5608,-0.7267,-10.1644,55.6639,-120.1913,244.4248,-30.3757,space
PROTRAKCJA,1.1200,0.5242,1.5244,-0.6814,-9.6402,57.1882,-120.8727,244.3954,-28.7732,space
PROTRAKCJA,1.1400,0.5260,1.4811,-0.6354,-9.1142,58.6693,-121.5080,244.3672,-27.1712,space
PROTRAKCJA,1.1600,0.5277,1.4312,-0.5891,-8.5865,60.1005,-122.0972,244.3405,-25.5694,space
PROTRAKCJA,1.1800,0.5293,1.3749,-0.5431,-8.0572,61.4755,-122.6403,244.3153,-23.9681,space
PROTRAKCJA,1.2000,0.5308,1.3126,-0.4976,-7.5264,62.7881,-123.1379,244.2916,-22.3670,space
PROTRAKCJA,1.2200,0.5322,1.2446,-0.4530,-6.9942,64.0327,-123.5909,244.2695,-20.7662,space
PROTRAKCJA,1.2400,0.5336,1.1714,-0.4096,-6.4606,65.2041,-124.0005,244.2491,-19.1656,space
PROTRAKCJA,1.2600,0.5348,1.0935,-0.3677,-5.9258,66.2976,-124.3682,244.2302,-17.5653,space
PROTRAKCJA,1.2800,0.5359,1.0113,-0.3274,-5.3899,67.3089,-124.6956,244.2130,-15.9652,space
PROTRAKCJA,1.3000,0.5370,0.9253,-0.2889,-4.8529,68.2342,-124.9845,244.1973,-14.3652,space
PROTRAKCJA,1.3200,0.5379,0.8361,-0.2523,-4.3150,69.0703,-125.2367,244.1831,-12.7654,space
PROTRAKCJA,1.3400,0.5388,0.7440,-0.2175,-3.7762,69.8143,-125.4542,244.1702,-11.1656,space
PROTRAKCJA,1.3600,0.5395,0.6495,-0.1846,-3.2366,70.4638,-125.6389,244.1586,-9.5659,space
PROTRAKCJA,1.3800,0.5402,0.5532,-0.1535,-2.6964,71.0170,-125.7924,244.1481,-7.9662,space
PROTRAKCJA,1.4000,0.5408,0.4552,-0.1240,-2.1557,71.4722,-125.9164,244.1385,-6.3665,space
PROTRAKCJA,1.4200,0.5412,0.3560,-0.0959,-1.6144,71.8282,-126.0123,244.1297,-4.7668,space
PROTRAKCJA,1.4400,0.5416,0.2559,-0.0690,-1.0728,72.0841,-126.0813,244.1215,-3.1670,space
PROTRAKCJA,1.4600,0.5419,0.1552,-0.0429,-0.5310,72.2393,-126.1242,244.1137,-1.5672,space
PROTRAKCJA,1.4800,0.5420,0.0542,-0.0175,0.0111,72.2935,-126.1418,244.1061,0.0327,space
PROTRAKCJA,1.5000,0.5421,-0.0470,0.0076,0.5532,72.2465,-126.1341,244.0985,1.6327,space
PROTRAKCJA,1.5200,0.5421,-0.1480,0.0328,1.0953,72.0985,-126.1013,244.0907,3.2327,space
PROTRAKCJA,1.5400,0.5420,-0.2486,0.0584,1.6372,71.8499,-126.0429,244.0825,4.8328,space
PROTRAKCJA,1.5600,0.5417,-0.3486,0.0846,2.1790,71.5013,-125.9583,244.0738,6.4330,space
PROTRAKCJA,1.5800,0.5414,-0.4477,0.1118,2.7204,71.0535,-125.8465,244.0642,8.0331,space
PROTRAKCJA,1.6000,0.5410,-0.5457,0.1402,3.2614,70.5079,-125.7063,244.0536,9.6333,space
PROTRAKCJA,1.6200,0.5405,-0.6421,0.1701,3.8019,69.8657,-125.5363,244.0420,11.2334,space
PROTRAKCJA,1.6400,0.5399,-0.7367,0.2016,4.3418,69.1290,-125.3347,244.0291,12.8335,space
PROTRAKCJA,1.6600,0.5392,-0.8291,0.2348,4.8811,68.2999,-125.0999,244.0148,14.4335,space
PROTRAKCJA,1.6800,0.5385,-0.9188,0.2700,5.4196,67.3811,-124.8299,243.9991,16.0333,space
PROTRAKCJA,1.7000,0.5376,-1.0055,0.3070,5.9572,66.3756,-124.5229,243.9818,17.6330,space
PROTRAKCJA,1.7200,0.5367,-1.0886,0.3458,6.4938,65.2870,-124.1771,243.9629,19.2324,space
PROTRAKCJA,1.7400,0.5356,-1.1676,0.3864,7.0295,64.1193,-123.7907,243.9423,20.8317,space
PROTRAKCJA,1.7600,0.5345,-1.2421,0.4286,7.5640,62.8772,-123.3621,243.9201,22.4306,space
PROTRAKCJA,1.7800,0.5333,-1.3116,0.4721,8.0973,61.5656,-122.8901,243.8962,24.0292,space
PROTRAKCJA,1.8000,0.5320,-1.3757,0.5167,8.6293,60.1899,-122.3734,243.8707,25.6275,space
PROTRAKCJA,1.8200,0.5306,-1.4338,0.5620,9.1599,58.7561,-121.8114,243.8437,27.2255,space
PROTRAKCJA,1.8400,0.5292,-1.4856,0.6077,9.6891,57.2705,-121.2037,243.8152,28.8230,space
PROTRAKCJA,1.8600,0.5277,-1.5308,0.6535,10.2167,55.7397,-120.5502,243.7854,30.4202,space
PROTRAKCJA,1.8800,0.5260,-1.5691,0.6988,10.7428,54.1707,-119.8514,243.7544,32.0170,space
PROTRAKCJA,1.9000,0.5244,-1.6002,0.7432,11.2672,52.5704,-119.1082,243.7224,33.6135,space
PROTRAKCJA,1.9200,0.5226,-1.6242,0.7864,11.7898,50.9462,-118.3218,243.6895,35.2096,space
PROTRAKCJA,1.9400,0.5208,-1.6409,0.8277,12.3105,49.3053,-117.4940,243.6559,36.8053,space
PROTRAKCJA,1.9600,0.5188,-1.6503,0.8669,12.8294,47.6550,-116.6271,243.6218,38.4008,space
